排名,标题,网址,播放量,弹幕量,UP主/收藏量,综合得分
1,【不看后悔】3天过四六级！揭秘出题人套路【救命技巧】临时抱佛脚|英语|考试|学习|四级|六级|经验分享,https://www.bilibili.com/video/BV18y4y1S7fb,106万,11.4万,是你们的康康,4713513
2,B站的朋友们大家好，葛叔我来了！,https://www.bilibili.com/video/BV1Yy4y1S7H1,217.7万,1.2万,葛平,4208544
3,【书记舞】论初中生有多呆,https://www.bilibili.com/video/BV1MT4y1M7eJ,292.8万,5831,呆Q超呆,3339850
4,限量发售，排队限购的米其林甜点，劝你不要自己做！,https://www.bilibili.com/video/BV1LT4y1M7h8,217.4万,1.1万,绵羊料理,3033232
5,中国最便宜的串串？20块钱100串，10种蘸料无限吃！,https://www.bilibili.com/video/BV1pt4y1Y7wR,203.6万,2.2万,盗月社食遇记,2940487
6,新英雄澜CG《目标》——每个人都会渴望光明,https://www.bilibili.com/video/BV1ky4y1v7zk,237.1万,2.2万,王者荣耀,2588515
7,这真的最后一次了！  且珍惜！！！,https://www.bilibili.com/video/BV1wf4y1i7hh,97.3万,1万,东尼ookii,2542422
8,课 堂 请 勿 对 对 子 ！！！,https://www.bilibili.com/video/BV1WZ4y1g7LP,110.5万,9067,三十六贱笑,2256467
9,每次我撑不下去的时候 就会打开这个视频,https://www.bilibili.com/video/BV1ZD4y1X7pR,130.6万,2.2万,张三的传奇一生,2203648
10,我的悲惨在你之上!【阅片无数动漫篇18】,https://www.bilibili.com/video/BV1Xa411F729,162.1万,1.5万,凉风Kaze,2143427
11,外媒：中国成为全球第二个在月球插旗的国家 印度：我们是疫情才落后的！网友：我开始怀疑美国国旗是不是真的了。。,https://www.bilibili.com/video/BV1P64y1f7TW,159.2万,6020,知日酱,2010129
12,愿一串串的红柿子给大家带来新一年的柿柿顺心,https://www.bilibili.com/video/BV1yp4y1z7yH,102.6万,2.3万,李子柒,1989755
13,【更新】某幻《赛博朋克2077》等了50多年，终于来了！,https://www.bilibili.com/video/BV1664y1f7mw,142万,2万,某幻君,1833562
14,鸡王争霸赛（上）,https://www.bilibili.com/video/BV1Hp4y1z7jp,117.4万,3164,小潮院长,1795299
15,“爸你是不是有亿点偏心？”,https://www.bilibili.com/video/BV1Ka411c7V8,105万,9012,自来卷三木,1713119
16,各大视频平台是如何忽悠你充会员的？！味太冲了,https://www.bilibili.com/video/BV1gf4y1i7vK,107.7万,2164,啊代文艺,1575263
17,34年前最疯狂的游戏究竟有多丧心病狂！！我愿称它为“扯淡”！！！,https://www.bilibili.com/video/BV1Vp4y1z7sn,72.1万,3624,33不是山山,1554334
18,【声优搞事】用派蒙的声音读台词！前面的区域...,https://www.bilibili.com/video/BV1xK41137rJ,97.4万,4548,多多poi丶,1491681
19,丁仲礼也上了美国制裁名单，当年那段关于减排的对话又火了,https://www.bilibili.com/video/BV1FV411h7Be,80.3万,2.7万,观察者网,1484946
20,神作归来？！《进击的巨人》最终季第1话观后感！【泛式】,https://www.bilibili.com/video/BV1pi4y157ht,109.9万,3599,泛式,1484342
21,81年前，他掀起了一场世界大战【历史调研室17】,https://www.bilibili.com/video/BV1cV411h7N1,75万,7012,历史调研室,1471200
22,带着298买的手提式烤炉去三亚做海鲜烧烤，边吃边告诉你3件事,https://www.bilibili.com/video/BV1Ny4y1B7ZP,86.9万,4848,拜托了小翔哥,1400999
23,【4K/中文】《赛博朋克2077》全流程通关视频（更新中）,https://www.bilibili.com/video/BV1gi4y157wG,158.2万,7232,游戏动力VGN,1395979
24,厨师长教你：“文思豆腐”非家常做法，刀工精细，用料考究,https://www.bilibili.com/video/BV1Gp4y1z7x6,100.2万,8140,美食作家王刚R,1377407
25,【王老菊】太阳监狱 | 恶魔之魂重制版05,https://www.bilibili.com/video/BV135411G7zM,68.8万,2万,怕上火暴王老菊,1372381
26,哈？用lemon演奏lemon？,https://www.bilibili.com/video/BV1pi4y157QX,73.2万,1387,铁甲骑士王,1350585
27,《明日方舟》SideStory「孤岛风云」活动宣传PV,https://www.bilibili.com/video/BV1Ka411c7kp,80.3万,9555,明日方舟,1323779
28,（火热更新中）爆肝192小时！全角色圣遗物搭配思路教学！,https://www.bilibili.com/video/BV1AD4y197Hi,47.1万,1658,老沐ocean,1311543
29,【JUMP】为什么会有人骂丁真？,https://www.bilibili.com/video/BV1By4y1v7gs,114.9万,1.1万,暴躁的仙人JUMP,1294279
30,【罗翔】我是你什么人？刑法中的特定关系人是什么？,https://www.bilibili.com/video/BV1sz4y1C78w,75.2万,3967,罗翔说刑法,1289260
31,赛博朋克终极视觉指南！【游戏众生相Remake】,https://www.bilibili.com/video/BV1wT4y1M7tu,77.8万,2618,尚在天国EX,1285275
32,这配置能玩赛博朋克2077吗？起码要2000多块钱吧？,https://www.bilibili.com/video/BV1hp4y1z72b,88.3万,1.2万,远古时代装机猿,1281531
33,我们结婚啦！带你看一场准备了两年的汉服婚礼&内含备婚攻略,https://www.bilibili.com/video/BV1ZA411W7b2,56万,4238,静知时岁,1264589
34,4套组网方案，让你家的WIFI网络超过99%的人,https://www.bilibili.com/video/BV1Tf4y1i7GS,42.7万,1181,喵喵折App,1256284
35,华农兄弟：青衣来我们这玩，没什么好招待的，宰2只鸡来烤,https://www.bilibili.com/video/BV1p5411G7WD,133.8万,2.5万,华农兄弟,1247949
36,《读评论》原 形 毕 露,https://www.bilibili.com/video/BV1Li4y157pw,87.9万,7294,记录生活的蛋黄派,1238164
37,别人有的，我的女人也要有,https://www.bilibili.com/video/BV1ot4y1r7NU,112.6万,3030,姚姚不是P30,1235228
38,9首你听过的而不知道名字的曲子,https://www.bilibili.com/video/BV13V411h7NN,80.7万,3176,Vinheteiro,1233659
39,【原神】摸 鱼 教 学,https://www.bilibili.com/video/BV1gy4y1B7Vz,44.4万,2626,阿遥那家伙,1227342
40,【4K】老戴《赛博朋克 2077》全故事剧情流程解说【持续更新ING】,https://www.bilibili.com/video/BV1rv411b76z,85.2万,1.2万,老戴在此,1213251
41,大家好，我是罗云熙，B站我来了！,https://www.bilibili.com/video/BV1Bi4y1574o,17.9万,2万,罗云熙,1182055
42,真人版QQ飞车，非常狂野！,https://www.bilibili.com/video/BV1C54y167mS,79.1万,1355,3锅儿团队,1173884
43,早安，南方人！（过 冬 限 定 版）,https://www.bilibili.com/video/BV1u64y1f7yx,56.2万,1279,萌新二次方,1133927
44,是谁强奸了我们的审美？从《镖人》来看这个越来越软的时代,https://www.bilibili.com/video/BV1FD4y197uZ,42.7万,5737,滑稽中二梦,1113009
45,“民主和自由”，您配吗？,https://www.bilibili.com/video/BV1xz4y1C7p6,68.5万,1725,共青团中央,1104285
46,进 击 的 郎 朗,https://www.bilibili.com/video/BV1ca411c7T7,83.5万,898,童嘎,1097129
47,新英雄澜149句全语音试听：和蔡文姬对话好甜！兄妹情深慕了！,https://www.bilibili.com/video/BV1zv411b7eN,106.6万,5479,包子入侵SSR,1088336
48,川建国，最后的人类之光......,https://www.bilibili.com/video/BV1T5411G7cm,60.9万,1381,吔香蕉的汤姆猫,1085860
