PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
  pathindex     sig2   amp ratio    deg    nlegs  r effective
        1     0.00000   100.000     2.000     2   1.8775
        2     0.00000   196.939     4.000     2   1.8910
        3     0.00000    43.250     2.000     2   2.8710
        4     0.00000     9.797     4.000     3   3.1219
        5     0.00000    32.714    16.000     3   3.2166
        6     0.00000     7.653     4.000     3   3.3265
        7     0.00000    15.323     8.000     3   3.3265
        8     0.00000    52.597     4.000     2   3.3433
        9     0.00000   114.226     8.000     2   3.4239
       10     0.00000    49.391     4.000     2   3.4304
       11     0.00000    24.767     8.000     3   3.5962
       12     0.00000    24.821     8.000     3   3.5962
       13     0.00000    16.666     2.000     3   3.7550
       14     0.00000    17.869     2.000     4   3.7550
       15     0.00000     6.264     2.000     4   3.7550
       16     0.00000     7.018     4.000     4   3.7685
       17     0.00000     7.020     4.000     4   3.7685
       18     0.00000     3.255    16.000     4   3.7685
       19     0.00000    32.515     4.000     3   3.7820
       20     0.00000    34.678     4.000     4   3.7820
       21     0.00000    12.170     4.000     4   3.7820
       22     0.00000     4.788     4.000     4   3.7820
       24     0.00000    71.607     8.000     2   3.9049
       25     0.00000    21.359    16.000     3   3.9495
       26     0.00000    21.469    16.000     3   3.9931
       27     0.00000     3.720     8.000     3   4.0895
       28     0.00000     9.217     8.000     3   4.0895
       29     0.00000    13.169     8.000     3   4.0895
       30     0.00000    30.965    16.000     3   4.2236
       31     0.00000     6.306    16.000     3   4.3291
       32     0.00000    14.073    16.000     3   4.3291
       33     0.00000    13.687     2.000     2   4.3394
       34     0.00000    33.929     4.000     3   4.3394
       35     0.00000    20.918     2.000     4   4.3394
       36     0.00000     6.658     4.000     4   4.3529
       37     0.00000     7.463     8.000     3   4.3726
       38     0.00000    30.719     4.000     2   4.3960
       39     0.00000    52.614     8.000     2   4.4068
       40     0.00000    25.225     4.000     2   4.4790
       41     0.00000    82.059    16.000     3   4.4813
       42     0.00000    14.719    16.000     3   4.4854
       43     0.00000     5.323     8.000     4   4.5422
       44     0.00000    13.175     8.000     4   4.5422
       45     0.00000     7.092     8.000     4   4.5422
       46     0.00000     5.286     8.000     4   4.5557
       47     0.00000    13.152     8.000     4   4.5557
       48     0.00000    37.051     8.000     4   4.5557
       51     0.00000     5.278     8.000     4   4.5574
       52     0.00000     5.006    16.000     3   4.6031
       53     0.00000    17.376    16.000     3   4.6031
       54     0.00000    13.056     8.000     3   4.6205
       55     0.00000    26.501     8.000     3   4.6205
       56     0.00000    18.719     8.000     3   4.6205
       58     0.00000     4.327     8.000     4   4.7620
       59     0.00000     6.165     8.000     4   4.7620
       60     0.00000     6.358     4.000     4   4.7620
       61     0.00000     9.971     4.000     4   4.7620
       62     0.00000     3.677     4.000     4   4.7620
       63     0.00000     4.228     8.000     4   4.7620
       64     0.00000    10.514     8.000     4   4.7620
       65     0.00000     8.452    16.000     4   4.7754
       66     0.00000     6.821     8.000     3   4.8084
       67     0.00000     6.029     8.000     3   4.8084
       68     0.00000     8.384     8.000     3   4.8084
       69     0.00000     3.246     8.000     3   4.8271
       70     0.00000     7.948     8.000     3   4.8271
       71     0.00000     4.495     8.000     4   4.8271
       72     0.00000     9.565     8.000     4   4.8271
       73     0.00000     3.779    16.000     3   4.8594
       74     0.00000     4.252     8.000     3   4.8594
       75     0.00000     7.105    16.000     3   4.8609
       76     0.00000    15.828    16.000     3   4.8609
       78     0.00000     7.771    16.000     4   4.9218
       79     0.00000     2.717    16.000     4   4.9353
       80     0.00000     5.614    16.000     4   4.9353
       81     0.00000    13.632    16.000     4   4.9353
       82     0.00000     7.350    16.000     3   4.9565
       83     0.00000    23.232    16.000     3   4.9839
       84     0.00000     8.171     8.000     4   4.9994
       85     0.00000     3.199     8.000     5   4.9994
       86     0.00000     9.824     8.000     5   4.9994
